Movie_ID,Year,Name,Genre
126,1896,Tom Old Boot,Short
127,1896,Les tribulations d'un concierge,"Short, Comedy"
128,1896,Academy for Young Ladies,Short
129,1896,Un petit diable,Short
130,1896,Une altercation au café,Short
131,1896,A Terrible Night,"Short, Comedy, Horror"
132,1896,Card Party,"Short, Biography"
133,1896,La voiture du potier,Short
134,1896,The Wandering Negro Minstrels,"Short, Music"
135,1896,A Watermelon Feast,"Documentary, Short"
136,1895,The Waterer Watered,"Short, Comedy"
137,1897,Au réfectoire,"Short, Comedy"
138,1897,The Bewitched Inn,"Short, Comedy, Horror"
139,1897,L'aveugle,"Short, Drama"
140,1897,Baignade dans le torrent,"Documentary, Short"
141,1897,Ballet libella,"Documentary, Short"
142,1897,Buffalo Bill and Escort,"Short, News"
143,1897,Les cambrioleurs,"Comedy, Short"
144,1897,Chez le magnétiseur,"Comedy, Short"
145,1897,En classe,"Short, Comedy"
146,1897,Le cocher de fiacre endormi,"Short, Comedy"
147,1897,The Corbett-Fitzsimmons Fight,"Documentary, News, Sport"
148,1897,Le Coucher d'Yvette,Short
149,1897,Behind the Scenes,"Short, Comedy"
150,1897,Danse fleur de lotus,"Documentary, Short"
151,1897,Faust et Marguerite,Short
152,1897,The Hallucinated Alchemist,"Short, Fantasy, Horror"
153,1897,The Haunted Castle,"Short, Horror"
154,1897,Henley Regatta,"Short, News, Sport"
155,1897,The Hypnotist at Work,Short
156,1896,A Badly Managed Hotel,"Short, Comedy"
157,1897,Idylle,Short
158,1897,Idylle interrompue,"Short, Comedy"
159,1897,The Devil's Laboratory,"Short, Horror"
160,1900,The Last Days of Pompeii,"Short, Drama"
161,1897,Leçon de danse,"Short, Comedy"
162,1897,Niagara Falls,"Documentary, Short"
163,1897,Le planton du colonel,"Short, Comedy"
164,1897,Le pêcheur dans le torrent,"Short, Comedy"
165,1897,Riña en un café,Short
166,1897,Salida de los trabajadores de la fábrica España Industrial,"Documentary, Short"
167,1897,Salida de misa de doce del Pilar de Zaragoza,"Documentary, Short"
168,1897,Salida del público de la iglesia parroquial de Santa María de Sans,"Documentary, Short"
169,1897,Slagsmål i gamla Stockholm,Short
170,1896,The Twins' Tea Party,"Comedy, Short"
171,1897,Une nuit agitée,"Short, Comedy"
172,1897,The X-Ray Fiend,"Short, Comedy, Horror"
173,1898,Battle of Santiago Bay,"Short, War"
